a = 2, b = 3, c = 5, 7797.34
a = 2, b = 3, c = 7, 7709.94
a = 2, b = 3, c = 11, 7604.10
a = 2, b = 3, c = 13, 7607.60
a = 2, b = 3, c = 17, 7525.80
a = 2, b = 3, c = 19, 7609.93
a = 2, b = 3, c = 23, 7676.03
a = 2, b = 3, c = 29, 7716.47
a = 2, b = 3, c = 31, 7879.61
a = 2, b = 3, c = 37, 7811.03
a = 2, b = 3, c = 41, 7577.12
a = 2, b = 3, c = 43, 8023.94
a = 2, b = 3, c = 47, 7732.80
a = 2, b = 3, c = 53, 7848.82
a = 2, b = 3, c = 59, 7681.79
a = 2, b = 3, c = 61, 7762.89
a = 2, b = 5, c = 7, 7912.66
a = 2, b = 5, c = 11, 7755.97
a = 2, b = 5, c = 13, 7668.02
a = 2, b = 5, c = 17, 7847.65
a = 2, b = 5, c = 19, 7805.35
a = 2, b = 5, c = 23, 7922.69
a = 2, b = 5, c = 29, 7539.56
a = 2, b = 5, c = 31, 7778.99
a = 2, b = 5, c = 37, 7822.30
a = 2, b = 5, c = 41, 8002.16
a = 2, b = 5, c = 43, 7880.70
a = 2, b = 5, c = 47, 7528.75
a = 2, b = 5, c = 53, 7753.40
a = 2, b = 5, c = 59, 7885.99
a = 2, b = 7, c = 11, 7608.69
a = 2, b = 7, c = 13, 7752.55
a = 2, b = 7, c = 17, 7562.81
a = 2, b = 7, c = 19, 7716.00
a = 2, b = 7, c = 23, 7566.47
a = 2, b = 7, c = 29, 7977.36
a = 2, b = 7, c = 31, 7760.56
a = 2, b = 7, c = 37, 7695.86
a = 2, b = 7, c = 41, 7826.42
a = 2, b = 7, c = 43, 7897.57
a = 2, b = 7, c = 47, 8028.21
a = 2, b = 7, c = 53, 7856.67
a = 2, b = 7, c = 59, 8045.79
a = 2, b = 7, c = 61, 7907.29
a = 2, b = 11, c = 5, 7894.07
a = 2, b = 11, c = 7, 7771.99
a = 2, b = 11, c = 13, 7971.06
a = 2, b = 11, c = 17, 7928.45
a = 2, b = 11, c = 19, 7697.80
a = 2, b = 11, c = 23, 7870.05
a = 2, b = 11, c = 31, 7635.13
a = 2, b = 11, c = 37, 7475.56
a = 2, b = 11, c = 41, 7670.51
